UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q6ZWH5	NEK10	Serine/threonine-protein kinase Nek10
UniProtKB:P09919	CSF3	Granulocyte colony-stimulating factor
UniProtKB:O14640	DVL1	Segment polarity protein dishevelled homolog DVL-1
UniProtKB:P24864	CCNE1	G1/S-specific cyclin-E1
UniProtKB:P56706	WNT7B	Protein Wnt-7b
UniProtKB:P56704	WNT3A	Protein Wnt-3a
UniProtKB:P36222	CHI3L1	Chitinase-3-like protein 1
UniProtKB:Q13563	PKD2	Polycystin-2
UniProtKB:Q13547	HDAC1	Histone deacetylase 1
UniProtKB:Q13546	RIPK1	Receptor-interacting serine/threonine-protein kinase 1
UniProtKB:Q13177	PAK2	Serine/threonine-protein kinase PAK 2
UniProtKB:Q9GZP0	PDGFD	Platelet-derived growth factor D
UniProtKB:Q9NWS0	PIH1D1	PIH1 domain-containing protein 1
UniProtKB:Q13164	MAPK7	Mitogen-activated protein kinase 7
UniProtKB:Q13163	MAP2K5	Dual specificity mitogen-activated protein kinase kinase 5
UniProtKB:Q13153	PAK1	Serine/threonine-protein kinase PAK 1
UniProtKB:Q76MJ5	ERN2	Serine/threonine-protein kinase/endoribonuclease IRE2
UniProtKB:P35414	APLNR	Apelin receptor
UniProtKB:Q13131	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1
UniProtKB:Q08462	ADCY2	Adenylate cyclase type 2
UniProtKB:Q13115	DUSP4	Dual specificity protein phosphatase 4
UniProtKB:O60896	RAMP3	Receptor activity-modifying protein 3
UniProtKB:Q6PGN9	PSRC1	Proline/serine-rich coiled-coil protein 1
UniProtKB:P02790	HPX	Hemopexin
UniProtKB:O60885	BRD4	Bromodomain-containing protein 4
UniProtKB:P14174	MIF	Macrophage migration inhibitory factor
UniProtKB:P02778	CXCL10	C-X-C motif chemokine 10
UniProtKB:P29965	CD40LG	CD40 ligand
UniProtKB:P02760	AMBP	Protein AMBP
UniProtKB:P02751	FN1	Fibronectin
UniProtKB:P14138	EDN3	Endothelin-3
UniProtKB:Q9H4G4	GLIPR2	Golgi-associated plant pathogenesis-related protein 1
UniProtKB:P09467	FBP1	Fructose-1,6-bisphosphatase 1
UniProtKB:O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
UniProtKB:P56279	TCL1A	T-cell leukemia/lymphoma protein 1A
UniProtKB:P56278	MTCP1	Protein p13 MTCP-1
UniProtKB:O15194	CTDSPL	CTD small phosphatase-like protein
UniProtKB:P24385	CCND1	G1/S-specific cyclin-D1
UniProtKB:Q5T442	GJC2	Gap junction gamma-2 protein
UniProtKB:O15169	AXIN1	Axin-1
UniProtKB:O15165	LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4
UniProtKB:O15146	MUSK	Muscle, skeletal receptor tyrosine-protein kinase
UniProtKB:Q13098	GPS1	COP9 signalosome complex subunit 1
UniProtKB:Q13094	LCP2	Lymphocyte cytosolic protein 2
UniProtKB:P12956	XRCC6	X-ray repair cross-complementing protein 6
UniProtKB:P12931	SRC	Proto-oncogene tyrosine-protein kinase Src
UniProtKB:O15105	SMAD7	Mothers against decapentaplegic homolog 7
UniProtKB:Q01664	TFAP4	Transcription factor AP-4
UniProtKB:Q13043	STK4	Serine/threonine-protein kinase 4
UniProtKB:Q8WZ42	TTN	Titin
UniProtKB:Q7Z2Y5	NRK	Nik-related protein kinase
UniProtKB:P58166	INHBE	Inhibin beta E chain
UniProtKB:Q58G82	SYT14P1	Putative synaptotagmin-14-like protein
UniProtKB:P01730	CD4	T-cell surface glycoprotein CD4
UniProtKB:Q8IVH8	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3
UniProtKB:Q9HBE4	IL21	Interleukin-21
UniProtKB:Q9HBA0	TRPV4	Transient receptor potential cation channel subfamily V member 4
UniProtKB:Q86VI3	IQGAP3	Ras GTPase-activating-like protein IQGAP3
UniProtKB:Q86VH5	LRRTM3	Leucine-rich repeat transmembrane neuronal protein 3
UniProtKB:Q86VH4	LRRTM4	Leucine-rich repeat transmembrane neuronal protein 4
UniProtKB:P56975	NRG3	Pro-neuregulin-3, membrane-bound isoform
UniProtKB:P41159	LEP	Leptin
UniProtKB:P41146	OPRL1	Nociceptin receptor
UniProtKB:P41145	OPRK1	Kappa-type opioid receptor
UniProtKB:P41143	OPRD1	Delta-type opioid receptor
UniProtKB:Q9HAW4	CLSPN	Claspin
UniProtKB:P41134	ID1	DNA-binding protein inhibitor ID-1
UniProtKB:Q9HAV5	EDA2R	Tumor necrosis factor receptor superfamily member 27
UniProtKB:Q9HAT8	PELI2	E3 ubiquitin-protein ligase pellino homolog 2
UniProtKB:Q9HAT0	ROPN1	Ropporin-1A
UniProtKB:Q8IV63	VRK3	Inactive serine/threonine-protein kinase VRK3
UniProtKB:Q8IV45	UNC5CL	UNC5C-like protein
UniProtKB:Q8IV04	TBC1D10C	Carabin
UniProtKB:Q8TB45	DEPTOR	DEP domain-containing mTOR-interacting protein
UniProtKB:P78556	CCL20	C-C motif chemokine 20
UniProtKB:Q9BZX4	ROPN1B	Ropporin-1B
UniProtKB:P78536	ADAM17	Disintegrin and metalloproteinase domain-containing protein 17
UniProtKB:Q13705	ACVR2B	Activin receptor type-2B
UniProtKB:Q8TAP4	LMO3	LIM domain only protein 3
UniProtKB:P78527	PRKDC	DNA-dependent protein kinase catalytic subunit
UniProtKB:Q9BZR6	RTN4R	Reticulon-4 receptor
UniProtKB:P14780	MMP9	Matrix metalloproteinase-9
UniProtKB:P08575	PTPRC	Receptor-type tyrosine-protein phosphatase C
UniProtKB:Q86UN3	RTN4RL2	Reticulon-4 receptor-like 2
UniProtKB:P58004	SESN2	Sestrin-2
UniProtKB:P61586	RHOA	Transforming protein RhoA
UniProtKB:Q9BZL6	PRKD2	Serine/threonine-protein kinase D2
UniProtKB:Q13009	TIAM1	T-lymphoma invasion and metastasis-inducing protein 1
UniProtKB:Q13007	IL24	Interleukin-24
UniProtKB:Q13002	GRIK2	Glutamate receptor ionotropic, kainate 2
UniProtKB:Q5SRE5	NUP188	Nucleoporin NUP188 homolog
UniProtKB:O43306	ADCY6	Adenylate cyclase type 6
UniProtKB:Q9UMX5	NENF	Neudesin
UniProtKB:P02679	FGG	Fibrinogen gamma chain
UniProtKB:P02675	FGB	Fibrinogen beta chain
UniProtKB:P02671	FGA	Fibrinogen alpha chain
UniProtKB:P02649	APOE	Apolipoprotein E
UniProtKB:P02647	APOA1	Apolipoprotein A-I
UniProtKB:O60733	PLA2G6	85/88 kDa calcium-independent phospholipase A2
UniProtKB:Q96PV0	SYNGAP1	Ras/Rap GTPase-activating protein SynGAP
UniProtKB:P56199	ITGA1	Integrin alpha-1
UniProtKB:Q96Q42	ALS2	Alsin
UniProtKB:A8CG34	POM121C	Nuclear envelope pore membrane protein POM 121C
UniProtKB:Q9BSF8	BTBD10	BTB/POZ domain-containing protein 10
UniProtKB:Q9H9T3	ELP3	Elongator complex protein 3
UniProtKB:O15031	PLXNB2	Plexin-B2
UniProtKB:Q6PEZ8	PODNL1	Podocan-like protein 1
UniProtKB:P12821	ACE	Angiotensin-converting enzyme
UniProtKB:P19525	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase
UniProtKB:Q9C030	TRIM6	Tripartite motif-containing protein 6
UniProtKB:O60687	SRPX2	Sushi repeat-containing protein SRPX2
UniProtKB:O60674	JAK2	Tyrosine-protein kinase JAK2
UniProtKB:O60658	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A
UniProtKB:Q9H4X1	RGCC	Regulator of cell cycle RGCC
UniProtKB:Q06609	RAD51	DNA repair protein RAD51 homolog 1
UniProtKB:P00995	SPINK1	Serine protease inhibitor Kazal-type 1
UniProtKB:Q9NQ88	TIGAR	Fructose-2,6-bisphosphatase TIGAR
UniProtKB:Q16890	TPD52L1	Tumor protein D53
UniProtKB:Q9H4P4	RNF41	E3 ubiquitin-protein ligase NRDP1
UniProtKB:Q16875	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3
UniProtKB:Q5GJ75	TNFAIP8L3	Tumor necrosis factor alpha-induced protein 8-like protein 3
UniProtKB:Q16832	DDR2	Discoidin domain-containing receptor 2
UniProtKB:Q16829	DUSP7	Dual specificity protein phosphatase 7
UniProtKB:Q16828	DUSP6	Dual specificity protein phosphatase 6
UniProtKB:P05412	JUN	Transcription factor AP-1
UniProtKB:P49798	RGS4	Regulator of G-protein signaling 4
UniProtKB:P49792	RANBP2	E3 SUMO-protein ligase RanBP2
UniProtKB:Q9H4H8	FAM83D	Protein FAM83D
UniProtKB:P49771	FLT3LG	Fms-related tyrosine kinase 3 ligand
UniProtKB:P49767	VEGFC	Vascular endothelial growth factor C
UniProtKB:Q93062	RBPMS	RNA-binding protein with multiple splicing
UniProtKB:P29279	CTGF	Connective tissue growth factor
UniProtKB:P29275	ADORA2B	Adenosine receptor A2b
UniProtKB:P29274	ADORA2A	Adenosine receptor A2a
UniProtKB:Q9NPF7	IL23A	Interleukin-23 subunit alpha
UniProtKB:P49715	CEBPA	CCAAT/enhancer-binding protein alpha
UniProtKB:Q9H4A3	WNK1	Serine/threonine-protein kinase WNK1
UniProtKB:O75955	FLOT1	Flotillin-1
UniProtKB:O75943	RAD17	Cell cycle checkpoint protein RAD17
UniProtKB:Q9NPB6	PARD6A	Partitioning defective 6 homolog alpha
UniProtKB:O75915	ARL6IP5	PRA1 family protein 3
UniProtKB:O75914	PAK3	Serine/threonine-protein kinase PAK 3
UniProtKB:P17813	ENG	Endoglin
UniProtKB:P32780	GTF2H1	General transcription factor IIH subunit 1
UniProtKB:Q96JP5	ZFP91	E3 ubiquitin-protein ligase ZFP91
UniProtKB:P54762	EPHB1	Ephrin type-B receptor 1
UniProtKB:Q08050	FOXM1	Forkhead box protein M1
UniProtKB:Q8WXW3	PIBF1	Progesterone-induced-blocking factor 1
UniProtKB:Q08043	ACTN3	Alpha-actinin-3
UniProtKB:Q9NSI8	SAMSN1	SAM domain-containing protein SAMSN-1
UniProtKB:P29590	PML	Protein PML
UniProtKB:Q9H7B4	SMYD3	Histone-lysine N-methyltransferase SMYD3
UniProtKB:O60469	DSCAM	Down syndrome cell adhesion molecule
UniProtKB:O60443	DFNA5	Non-syndromic hearing impairment protein 5
UniProtKB:P29508	SERPINB3	Serpin B3
UniProtKB:P30304	CDC25A	M-phase inducer phosphatase 1
UniProtKB:P09038	FGF2	Fibroblast growth factor 2
UniProtKB:Q02779	MAP3K10	Mitogen-activated protein kinase kinase kinase 10
UniProtKB:Q6PCB7	SLC27A1	Long-chain fatty acid transport protein 1
UniProtKB:Q6ZNE5	ATG14	Beclin 1-associated autophagy-related key regulator
UniProtKB:Q9H756	LRRC19	Leucine-rich repeat-containing protein 19
UniProtKB:Q9NS75	CYSLTR2	Cysteinyl leukotriene receptor 2
UniProtKB:Q9NS73	MBIP	MAP3K12-binding inhibitory protein 1
UniProtKB:Q96MK3	FAM20A	Pseudokinase FAM20A
UniProtKB:O43474	KLF4	Krueppel-like factor 4
UniProtKB:O95393	BMP10	Bone morphogenetic protein 10
UniProtKB:Q96MH2	HEXIM2	Protein HEXIM2
UniProtKB:Q9H706	GAREM1	GRB2-associated and regulator of MAPK protein 1
UniProtKB:Q9NRM7	LATS2	Serine/threonine-protein kinase LATS2
UniProtKB:P54619	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1
UniProtKB:P49959	MRE11	Double-strand break repair protein MRE11
UniProtKB:O60383	GDF9	Growth/differentiation factor 9
UniProtKB:P29460	IL12B	Interleukin-12 subunit beta
UniProtKB:Q6ZN16	MAP3K15	Mitogen-activated protein kinase kinase kinase 15
UniProtKB:P29459	IL12A	Interleukin-12 subunit alpha
UniProtKB:Q7Z4P5	GDF7	Growth/differentiation factor 7
UniProtKB:P55107	GDF10	Growth/differentiation factor 10
UniProtKB:P55103	INHBC	Inhibin beta C chain
UniProtKB:P10301	RRAS	Ras-related protein R-Ras
UniProtKB:P18545	PDE6G	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
UniProtKB:Q8N4C8	MINK1	Misshapen-like kinase 1
UniProtKB:P11802	CDK4	Cyclin-dependent kinase 4
UniProtKB:Q00535	CDK5	Cyclin-dependent-like kinase 5
UniProtKB:P18509	ADCYAP1	Pituitary adenylate cyclase-activating polypeptide
UniProtKB:P01588	EPO	Erythropoietin
UniProtKB:P01584	IL1B	Interleukin-1 beta
UniProtKB:P01579	IFNG	Interferon gamma
UniProtKB:P01570	IFNA14	Interferon alpha-14
UniProtKB:P01567	IFNA7	Interferon alpha-7
UniProtKB:P01566	IFNA10	Interferon alpha-10
UniProtKB:Q8N474	SFRP1	Secreted frizzled-related protein 1
UniProtKB:P01562	IFNA1	Interferon alpha-1/13
UniProtKB:P28749	RBL1	Retinoblastoma-like protein 1
UniProtKB:O94992	HEXIM1	Protein HEXIM1
UniProtKB:Q9BZQ8	FAM129A	Protein Niban
UniProtKB:P08246	ELANE	Neutrophil elastase
UniProtKB:P55089	UCN	Urocortin
UniProtKB:P55085	F2RL1	Proteinase-activated receptor 2
UniProtKB:P08238	HSP90AB1	Heat shock protein HSP 90-beta
UniProtKB:P55075	FGF8	Fibroblast growth factor 8
UniProtKB:P55072	VCP	Transitional endoplasmic reticulum ATPase
UniProtKB:O00585	CCL21	C-C motif chemokine 21
UniProtKB:Q7L9L4	MOB1B	MOB kinase activator 1B
UniProtKB:Q7Z434	MAVS	Mitochondrial antiviral-signaling protein
UniProtKB:P55008	AIF1	Allograft inflammatory factor 1
UniProtKB:P23142	FBLN1	Fibulin-1
UniProtKB:Q9BVC4	MLST8	Target of rapamycin complex subunit LST8
UniProtKB:O15354	GPR37	Prosaposin receptor GPR37
UniProtKB:O15350	TP73	Tumor protein p73
UniProtKB:Q96SL8	FIZ1	Flt3-interacting zinc finger protein 1
UniProtKB:Q68CR7	LRRC66	Leucine-rich repeat-containing protein 66
UniProtKB:O15344	MID1	E3 ubiquitin-protein ligase Midline-1
UniProtKB:Q9NY74	ETAA1	Ewing's tumor-associated antigen 1
UniProtKB:P04085	PDGFA	Platelet-derived growth factor subunit A
UniProtKB:Q9P2D0	IBTK	Inhibitor of Bruton tyrosine kinase
UniProtKB:P24530	EDNRB	Endothelin receptor type B
UniProtKB:P24522	GADD45A	Growth arrest and DNA damage-inducible protein GADD45 alpha
UniProtKB:P04049	RAF1	RAF proto-oncogene serine/threonine-protein kinase
UniProtKB:Q13253	NOG	Noggin
UniProtKB:P04035	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
UniProtKB:Q76NI1	KNDC1	Protein very KIND
UniProtKB:Q13227	GPS2	G protein pathway suppressor 2
UniProtKB:P04004	VTN	Vitronectin
UniProtKB:Q13217	DNAJC3	DnaJ homolog subfamily C member 3
UniProtKB:Q13202	DUSP8	Dual specificity protein phosphatase 8
UniProtKB:Q9BV47	DUSP26	Dual specificity protein phosphatase 26
UniProtKB:Q9NXH3	PPP1R14D	Protein phosphatase 1 regulatory subunit 14D
UniProtKB:Q9ULZ1	APLN	Apelin
UniProtKB:Q9ULZ2	STAP1	Signal-transducing adaptor protein 1
UniProtKB:Q9H461	FZD8	Frizzled-8
UniProtKB:P46109	CRKL	Crk-like protein
UniProtKB:P46108	CRK	Adapter molecule crk
UniProtKB:Q96S95	CAMK2N2	Calcium/calmodulin-dependent protein kinase II inhibitor 2
UniProtKB:Q96S94	CCNL2	Cyclin-L2
UniProtKB:P61088	UBE2N	Ubiquitin-conjugating enzyme E2 N
UniProtKB:P61086	UBE2K	Ubiquitin-conjugating enzyme E2 K
UniProtKB:O60934	NBN	Nibrin
UniProtKB:Q96RU8	TRIB1	Tribbles homolog 1
UniProtKB:O60921	HUS1	Checkpoint protein HUS1
UniProtKB:P14210	HGF	Hepatocyte growth factor
UniProtKB:Q96S59	RANBP9	Ran-binding protein 9
UniProtKB:Q96S42	NODAL	Nodal homolog
UniProtKB:Q9GZZ8	LACRT	Extracellular glycoprotein lacritin
UniProtKB:P09529	INHBB	Inhibin beta B chain
UniProtKB:Q96RR4	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2
