UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q13574	DGKZ	Diacylglycerol kinase zeta
UniProtKB:Q13572	ITPK1	Inositol-tetrakisphosphate 1-kinase
UniProtKB:Q13563	PKD2	Polycystin-2
UniProtKB:Q13557	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta
UniProtKB:Q13547	HDAC1	Histone deacetylase 1
UniProtKB:Q13546	RIPK1	Receptor-interacting serine/threonine-protein kinase 1
UniProtKB:Q13177	PAK2	Serine/threonine-protein kinase PAK 2
UniProtKB:Q9GZP0	PDGFD	Platelet-derived growth factor D
UniProtKB:Q9NWS0	PIH1D1	PIH1 domain-containing protein 1
UniProtKB:Q13164	MAPK7	Mitogen-activated protein kinase 7
UniProtKB:Q13163	MAP2K5	Dual specificity mitogen-activated protein kinase kinase 5
UniProtKB:Q13162	PRDX4	Peroxiredoxin-4
UniProtKB:Q96RG2	PASK	PAS domain-containing serine/threonine-protein kinase
UniProtKB:Q13153	PAK1	Serine/threonine-protein kinase PAK 1
UniProtKB:Q76MJ5	ERN2	Serine/threonine-protein kinase/endoribonuclease IRE2
UniProtKB:P35408	PTGER4	Prostaglandin E2 receptor EP4 subtype
UniProtKB:P35414	APLNR	Apelin receptor
UniProtKB:Q13131	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1
UniProtKB:Q08462	ADCY2	Adenylate cyclase type 2
UniProtKB:Q13115	DUSP4	Dual specificity protein phosphatase 4
UniProtKB:Q6ZS86	GK5	Putative glycerol kinase 5
UniProtKB:Q9BTU6	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha
UniProtKB:O60896	RAMP3	Receptor activity-modifying protein 3
UniProtKB:Q6PGN9	PSRC1	Proline/serine-rich coiled-coil protein 1
UniProtKB:P02790	HPX	Hemopexin
UniProtKB:O60885	BRD4	Bromodomain-containing protein 4
UniProtKB:P14174	MIF	Macrophage migration inhibitory factor
UniProtKB:P46020	PHKA1	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform
UniProtKB:P02778	CXCL10	C-X-C motif chemokine 10
UniProtKB:P46019	PHKA2	Phosphorylase b kinase regulatory subunit alpha, liver isoform
UniProtKB:P29965	CD40LG	CD40 ligand
UniProtKB:P02760	AMBP	Protein AMBP
UniProtKB:P02751	FN1	Fibronectin
UniProtKB:Q9NPI5	NMRK2	Nicotinamide riboside kinase 2
UniProtKB:P14138	EDN3	Endothelin-3
UniProtKB:P55957	BID	BH3-interacting domain death agonist
UniProtKB:Q9H4G4	GLIPR2	Golgi-associated plant pathogenesis-related protein 1
UniProtKB:P09467	FBP1	Fructose-1,6-bisphosphatase 1
UniProtKB:O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
UniProtKB:Q96QT4	TRPM7	Transient receptor potential cation channel subfamily M member 7
UniProtKB:E9PQ53	NDUFC2-KCTD14	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2
UniProtKB:P56279	TCL1A	T-cell leukemia/lymphoma protein 1A
UniProtKB:P56278	MTCP1	Protein p13 MTCP-1
UniProtKB:O15198	SMAD9	Mothers against decapentaplegic homolog 9
UniProtKB:O15197	EPHB6	Ephrin type-B receptor 6
UniProtKB:O15194	CTDSPL	CTD small phosphatase-like protein
UniProtKB:Q96QP1	ALPK1	Alpha-protein kinase 1
UniProtKB:P24385	CCND1	G1/S-specific cyclin-D1
UniProtKB:Q5T442	GJC2	Gap junction gamma-2 protein
UniProtKB:O15169	AXIN1	Axin-1
UniProtKB:O15165	LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4
UniProtKB:O15164	TRIM24	Transcription intermediary factor 1-alpha
UniProtKB:O15146	MUSK	Muscle, skeletal receptor tyrosine-protein kinase
UniProtKB:Q13098	GPS1	COP9 signalosome complex subunit 1
UniProtKB:Q13094	LCP2	Lymphocyte cytosolic protein 2
UniProtKB:P12956	XRCC6	X-ray repair cross-complementing protein 6
UniProtKB:O15117	FYB1	FYN-binding protein 1
UniProtKB:O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha
UniProtKB:P12931	SRC	Proto-oncogene tyrosine-protein kinase Src
UniProtKB:O15105	SMAD7	Mothers against decapentaplegic homolog 7
UniProtKB:P24311	COX7B	Cytochrome c oxidase subunit 7B, mitochondrial
UniProtKB:Q13057	COASY	Bifunctional coenzyme A synthase
UniProtKB:Q01664	TFAP4	Transcription factor AP-4
UniProtKB:Q6PFW1	PPIP5K1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1
UniProtKB:Q13043	STK4	Serine/threonine-protein kinase 4
UniProtKB:Q8WZ42	TTN	Titin
UniProtKB:Q7Z2Y5	NRK	Nik-related protein kinase
UniProtKB:P58166	INHBE	Inhibin beta E chain
UniProtKB:Q58G82	SYT14P1	Putative synaptotagmin-14-like protein
UniProtKB:P01730	CD4	T-cell surface glycoprotein CD4
UniProtKB:Q8IVH8	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3
UniProtKB:Q9HBE4	IL21	Interleukin-21
UniProtKB:P14854	COX6B1	Cytochrome c oxidase subunit 6B1
UniProtKB:Q9HBA0	TRPV4	Transient receptor potential cation channel subfamily V member 4
UniProtKB:Q86VI3	IQGAP3	Ras GTPase-activating-like protein IQGAP3
UniProtKB:Q86VH5	LRRTM3	Leucine-rich repeat transmembrane neuronal protein 3
UniProtKB:Q86VH4	LRRTM4	Leucine-rich repeat transmembrane neuronal protein 4
UniProtKB:P41180	CASR	Extracellular calcium-sensing receptor
UniProtKB:P56975	NRG3	Pro-neuregulin-3, membrane-bound isoform
UniProtKB:P41159	LEP	Leptin
UniProtKB:P41146	OPRL1	Nociceptin receptor
UniProtKB:P41145	OPRK1	Kappa-type opioid receptor
UniProtKB:P41143	OPRD1	Delta-type opioid receptor
UniProtKB:Q9HAW4	CLSPN	Claspin
UniProtKB:P41134	ID1	DNA-binding protein inhibitor ID-1
UniProtKB:Q9HAV5	EDA2R	Tumor necrosis factor receptor superfamily member 27
UniProtKB:Q9HAT8	PELI2	E3 ubiquitin-protein ligase pellino homolog 2
UniProtKB:Q9HAT0	ROPN1	Ropporin-1A
UniProtKB:Q8IV63	VRK3	Inactive serine/threonine-protein kinase VRK3
UniProtKB:Q8TAX0	OSR1	Protein odd-skipped-related 1
UniProtKB:Q8IV45	UNC5CL	UNC5C-like protein
UniProtKB:Q8IV42	PSTK	L-seryl-tRNA(Sec) kinase
UniProtKB:Q13761	RUNX3	Runt-related transcription factor 3
